247^2 divides 10^n + 1 where n = 2223 = 247 * 9.0 = 3^2 * 13^1 * 19^1
247^2 divides 10^n + 1 where n = 6669 = 247 * 27.0 = 3^3 * 13^1 * 19^1
247^2 divides 10^n + 1 where n = 11115 = 247 * 45.0 = 3^2 * 5^1 * 13^1 * 19^1
247^2 divides 10^n + 1 where n = 15561 = 247 * 63.0 = 3^2 * 7^1 * 13^1 * 19^1
247^2 divides 10^n + 1 where n = 20007 = 247 * 81.0 = 3^4 * 13^1 * 19^1
247^2 divides 10^n + 1 where n = 24453 = 247 * 99.0 = 3^2 * 11^1 * 13^1 * 19^1
247^2 divides 10^n + 1 where n = 28899 = 247 * 117.0 = 3^2 * 13^2 * 19^1
247^2 divides 10^n + 1 where n = 33345 = 247 * 135.0 = 3^3 * 5^1 * 13^1 * 19^1
247^2 divides 10^n + 1 where n = 37791 = 247 * 153.0 = 3^2 * 13^1 * 17^1 * 19^1
247^2 divides 10^n + 1 where n = 42237 = 247 * 171.0 = 3^2 * 13^1 * 19^2
247^2 divides 10^n + 1 where n = 46683 = 247 * 189.0 = 3^3 * 7^1 * 13^1 * 19^1
247^2 divides 10^n + 1 where n = 51129 = 247 * 207.0 = 3^2 * 13^1 * 19^1 * 23^1
247^2 divides 10^n + 1 where n = 55575 = 247 * 225.0 = 3^2 * 5^2 * 13^1 * 19^1
247^2 divides 10^n + 1 where n = 60021 = 247 * 243.0 = 3^5 * 13^1 * 19^1
247^2 divides 10^n + 1 where n = 64467 = 247 * 261.0 = 3^2 * 13^1 * 19^1 * 29^1
247^2 divides 10^n + 1 where n = 68913 = 247 * 279.0 = 3^2 * 13^1 * 19^1 * 31^1
247^2 divides 10^n + 1 where n = 73359 = 247 * 297.0 = 3^3 * 11^1 * 13^1 * 19^1
247^2 divides 10^n + 1 where n = 77805 = 247 * 315.0 = 3^2 * 5^1 * 7^1 * 13^1 * 19^1
247^2 divides 10^n + 1 where n = 82251 = 247 * 333.0 = 3^2 * 13^1 * 19^1 * 37^1
247^2 divides 10^n + 1 where n = 86697 = 247 * 351.0 = 3^3 * 13^2 * 19^1
247^2 divides 10^n + 1 where n = 91143 = 247 * 369.0 = 3^2 * 13^1 * 19^1 * 41^1
247^2 divides 10^n + 1 where n = 95589 = 247 * 387.0 = 3^2 * 13^1 * 19^1 * 43^1
